imageUUID,upc,x,y,width,height,shelfLevel,productName,brandName 
39754beb-e775-424c-8149-ae6cd4067205,019200899536,2668,3217,321,634,Bottom,LYSOL MOLD AND MILDEW BLASTER WITH BLEACH BATHROOM CLEANER PURPLE SPRAY BOTTLE 28FL OZ,Lysol
39754beb-e775-424c-8149-ae6cd4067205,019800001285,119,2453,268,584,Bottom,Windex Glass Cleaner Refill Original Blue68 fl oz,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800001285,150,1845,208,442,Middle,Windex Glass Cleaner Refill Original Blue68 fl oz,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800001285,200,147,198,676,Top,Windex Glass Cleaner Refill Original Blue68 fl oz,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800001285,229,3115,226,607,Bottom,Windex Glass Cleaner Refill Original Blue68 fl oz,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800001285,332,1749,278,638,Middle,Windex Glass Cleaner Refill Original Blue68 fl oz,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800001285,378,2454,270,580,Bottom,Windex Glass Cleaner Refill Original Blue68 fl oz,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800001285,418,3247,268,625,Bottom,Windex Glass Cleaner Refill Original Blue68 fl oz,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800702274,211,1088,324,573,Middle,WINDEX ELECTRONIC WIPES,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800702274,6,1058,226,601,Middle,WINDEX ELECTRONIC WIPES,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800703455,1301,14,305,794,Top,WINDEX CLEANER CRYSTAL RAIN FRESH SCENT AMMONIA FREE SPRAY BOTTLE 23FL OZ,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800703455,1601,14,302,791,Top,WINDEX CLEANER CRYSTAL RAIN FRESH SCENT AMMONIA FREE SPRAY BOTTLE 23FL OZ,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800703455,1896,0,310,790,Top,WINDEX CLEANER CRYSTAL RAIN FRESH SCENT AMMONIA FREE SPRAY BOTTLE 23FL OZ,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800708351,354,0,305,806,Top,Windex with Vinegar Glass Cleaner Spray 32 fl oz,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800708351,650,2,299,817,Top,Windex with Vinegar Glass Cleaner Spray 32 fl oz,Windex 
39754beb-e775-424c-8149-ae6cd4067205,019800708351,998,9,302,802,Top,Windex with Vinegar Glass Cleaner Spray 32 fl oz,Windex 
39754beb-e775-424c-8149-ae6cd4067205,044600012605,2171,929,247,726,Middle,CLOROX PLUS TILEX DAILY SHOWER CLEANER SPRAY BOTTLE,Clorox 
39754beb-e775-424c-8149-ae6cd4067205,044600012605,2501,938,352,708,Middle,CLOROX PLUS TILEX DAILY SHOWER CLEANER SPRAY BOTTLE,Clorox 
39754beb-e775-424c-8149-ae6cd4067205,490030505000,1520,936,293,717,Middle,UP AND UP ALL PURPOSE CLEANER PLUS BLEACH 1 COUNT 1 PACK SPRAY BOTTLE 32 OZ 1.99,Up & Up
39754beb-e775-424c-8149-ae6cd4067205,490030505000,1818,942,282,681,Middle,UP AND UP ALL PURPOSE CLEANER PLUS BLEACH 1 COUNT 1 PACK SPRAY BOTTLE 32 OZ 1.99,Up & Up
