imageUUID,upc,x,y,width,height,shelfLevel,productName,brandName 
4c8747da-9a52-4818-aa09-a532f7f01a06,004159800054,83,1142,218,503,Middle,Weiman Granite Wipes 30 ct,Weiman 
4c8747da-9a52-4818-aa09-a532f7f01a06,019200808347,2679,2913,137,517,Bottom,Lysol Disinfectant Spray Early Morning Breeze 19 fl oz,Lysol
4c8747da-9a52-4818-aa09-a532f7f01a06,019200899539,2264,2949,149,501,Bottom,LYSOLDISINFECTANT MISTGARDEN AFTER RAIN 2X MAX COVERAGE SPRAY CAN,Lysol
4c8747da-9a52-4818-aa09-a532f7f01a06,019200899539,2411,2942,140,487,Bottom,LYSOLDISINFECTANT MISTGARDEN AFTER RAIN 2X MAX COVERAGE SPRAY CAN,Lysol
4c8747da-9a52-4818-aa09-a532f7f01a06,019200899539,2526,2900,152,540,Bottom,LYSOLDISINFECTANT MISTGARDEN AFTER RAIN 2X MAX COVERAGE SPRAY CAN,Lysol
4c8747da-9a52-4818-aa09-a532f7f01a06,019200941211,1857,2947,159,490,Bottom,LYSOL MAX COVER DISINFECTANT LAVENDER FIELD SPRAY CAN 15OZ,Lysol
4c8747da-9a52-4818-aa09-a532f7f01a06,019200941211,2044,2924,139,516,Bottom,LYSOL MAX COVER DISINFECTANT LAVENDER FIELD SPRAY CAN 15OZ,Lysol
4c8747da-9a52-4818-aa09-a532f7f01a06,019200962261,1369,2951,200,469,Bottom,Lysol Disinfectant Spray Crisp Linen2 ct / 19 fl oz,Lysol
4c8747da-9a52-4818-aa09-a532f7f01a06,019200962261,1576,2918,280,516,Bottom,Lysol Disinfectant Spray Crisp Linen2 ct / 19 fl oz,Lysol
4c8747da-9a52-4818-aa09-a532f7f01a06,019200962261,993,2919,295,527,Bottom,Lysol Disinfectant Spray Crisp Linen2 ct / 19 fl oz,Lysol
4c8747da-9a52-4818-aa09-a532f7f01a06,019200983679,2813,2917,150,519,Bottom,LYSOL SPRY DSINFCTNTS BERRY AND BASIL SCENT AER 19OZ 1PK REG-PK,Lysol
4c8747da-9a52-4818-aa09-a532f7f01a06,023400019472,2277,3601,204,415,Bottom,SOFT SCRUB 4-in-1 TOILET CARE LEMON 1 CT,Soft Scrub 
4c8747da-9a52-4818-aa09-a532f7f01a06,023400019472,2589,3515,164,188,Bottom,SOFT SCRUB 4-in-1 TOILET CARE LEMON 1 CT,Soft Scrub 
4c8747da-9a52-4818-aa09-a532f7f01a06,023400065646,2884,3627,139,404,Bottom,SOFT SCRUB CLEANSER MULTI SURFACE 1 COUNT 1 PACK BOTTLE GRAY BOTTLE,Soft Scrub 
4c8747da-9a52-4818-aa09-a532f7f01a06,044600008899,2556,1582,283,582,Middle,Formula 409 Multi-Surface Cleaner Spray Original Scent32 fl oz,Formula 409
4c8747da-9a52-4818-aa09-a532f7f01a06,044600008899,2641,2254,201,519,Middle,Formula 409 Multi-Surface Cleaner Spray Original Scent32 fl oz,Formula 409
4c8747da-9a52-4818-aa09-a532f7f01a06,044600008899,2840,1825,174,333,Middle,Formula 409 Multi-Surface Cleaner Spray Original Scent32 fl oz,Formula 409
