imageUUID,upc,x,y,width,height,shelfLevel,productName,brandName 
82017f31-ad72-47f5-989c-21fdbf3f5585,019200008884,1155,1261,177,379,NA,Lysol Kitchen Pro Cleaner Spray Antibacterial 22 fl oz,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019200008884,981,1265,175,385,NA,Lysol Kitchen Pro Cleaner Spray Antibacterial 22 fl oz,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019200753524,658,783,189,400,NA,Lysol All Purpose Cleaner Spray Lemon Breeze32 fl oz,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019200753524,834,781,142,382,NA,Lysol All Purpose Cleaner Spray Lemon Breeze32 fl oz,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019200753524,963,796,200,402,NA,Lysol All Purpose Cleaner Spray Lemon Breeze32 fl oz,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019200808347,31,0,119,233,NA,Lysol Disinfectant Spray Early Morning Breeze 19 fl oz,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019200811453,610,1755,124,238,NA,Lysol Disinfecting Wipes Lemon and Lime Blossom 35 ct,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019200811453,709,1757,136,239,NA,Lysol Disinfecting Wipes Lemon and Lime Blossom 35 ct,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019200811453,834,1758,120,230,NA,Lysol Disinfecting Wipes Lemon and Lime Blossom 35 ct,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019200850179,1322,1257,196,372,NA,LYSOL WITH HYDROGEN PEROXIDE BLEACH FREE 45% MORE SPRAY BOTTLE,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019200850179,1515,1253,198,380,NA,LYSOL WITH HYDROGEN PEROXIDE BLEACH FREE 45% MORE SPRAY BOTTLE,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019200962681,0,1323,131,275,NA,LYSOL DISINFECTANT WIPES KITCHEN PRO,Lysol
82017f31-ad72-47f5-989c-21fdbf3f5585,019800001285,1768,788,154,394,NA,Windex Glass Cleaner Refill Original Blue68 fl oz,Windex 
82017f31-ad72-47f5-989c-21fdbf3f5585,019800703455,2695,780,192,411,NA,WINDEX CLEANER CRYSTAL RAIN FRESH SCENT AMMONIA FREE SPRAY BOTTLE 23FL OZ,Windex 
82017f31-ad72-47f5-989c-21fdbf3f5585,019800703455,2873,780,168,404,NA,WINDEX CLEANER CRYSTAL RAIN FRESH SCENT AMMONIA FREE SPRAY BOTTLE 23FL OZ,Windex 
82017f31-ad72-47f5-989c-21fdbf3f5585,020547001407,2784,1693,157,333,NA,MEAN GREEN SUPER STRENGTH HEAVY DUTY CLEANER SPRAY BOTTLE,Mean Green 
